time_ms,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C

0,76.83,68.18,68.17,68.20,68.06,68.00
1071,76.86,68.17,68.12,68.26,68.17,68.17
2143,76.89,68.12,67.98,67.98,68.20,68.21
3214,76.89,68.17,68.15,68.12,68.13,68.20
4286,76.93,68.24,67.93,68.23,68.13,68.23
5357,76.86,68.23,68.10,68.12,68.06,68.10
6429,76.92,68.20,68.07,68.17,68.12,68.07
7500,76.92,68.41,68.17,68.18,68.12,68.10
8572,76.95,68.24,68.00,68.10,68.18,68.07
9644,76.82,68.21,68.03,68.10,68.04,68.13
10716,76.82,68.38,68.10,68.15,68.15,68.13
11787,76.92,68.33,68.01,68.13,68.20,68.07
12859,76.87,68.18,68.15,68.15,68.15,68.10
13930,76.80,68.18,68.07,68.04,68.12,68.10
15002,76.84,68.35,68.12,68.15,68.12,68.09
16074,76.90,68.23,68.10,68.09,68.07,68.12
17145,76.95,68.15,68.07,68.18,68.13,68.10
18217,76.82,68.27,68.06,68.15,68.01,68.09
19289,76.90,68.27,68.01,68.15,68.10,68.17
20361,76.84,68.27,68.21,68.13,68.07,68.13
21432,77.32,68.32,68.21,68.13,68.10,68.18
22504,77.82,68.20,67.97,68.21,68.18,68.12
23575,78.31,68.26,68.17,68.27,68.09,68.07
24647,78.56,68.17,68.10,68.10,68.12,68.01
25718,78.43,68.37,68.13,68.04,68.07,68.17
26790,78.43,68.10,68.12,68.21,68.10,68.12
27863,78.30,68.15,68.03,68.21,68.18,68.10
28934,78.12,68.17,68.13,68.23,68.13,68.23
30006,78.06,68.24,68.20,68.09,68.12,68.13
31077,78.02,68.20,68.07,68.09,68.12,68.07
32149,77.93,68.17,68.10,68.15,68.13,68.10
33220,77.84,68.20,68.09,68.01,68.12,68.15
34292,77.65,68.24,68.01,68.07,68.15,68.09
35363,77.66,68.32,68.09,68.17,68.10,68.10
36435,77.74,68.06,67.98,68.18,68.13,68.17
37508,77.59,68.24,68.00,68.15,68.13,68.17
38579,77.56,68.29,68.12,68.23,68.13,68.00
39651,77.51,68.13,68.15,68.07,68.15,68.10
40722,77.36,68.26,68.10,68.09,68.10,68.03
41794,77.47,68.18,68.03,68.07,68.09,68.13
42865,77.33,68.15,68.06,68.10,68.00,68.15
43937,77.30,68.21,68.06,68.09,68.03,68.10
45008,77.29,68.29,68.23,68.18,68.13,68.13
46081,77.23,68.23,68.01,68.00,68.10,68.04
47152,77.25,68.17,68.10,68.06,68.15,68.03
48224,77.23,68.13,68.03,68.12,68.09,68.06
49295,77.23,68.12,68.01,68.04,68.20,68.12
50367,77.23,68.30,68.09,68.15,68.15,68.13
51439,77.19,68.18,68.03,68.04,68.18,68.03
52510,77.10,68.30,68.07,68.15,68.10,68.09
53582,77.13,68.18,68.04,68.12,68.12,68.01
54653,77.11,68.18,68.15,68.15,68.20,68.06
55726,77.14,68.09,68.06,68.12,68.17,68.09
56797,77.11,68.13,68.07,68.13,68.12,68.10
57869,77.08,68.13,68.20,68.12,68.10,68.21
58940,77.02,68.10,68.12,68.21,68.09,68.04
60012,77.01,68.13,68.10,68.09,68.09,67.98
61083,77.02,68.18,68.10,68.18,68.03,68.09
62155,77.07,68.21,68.06,68.09,68.17,68.10
63227,77.08,68.17,68.20,68.17,68.12,68.04
64299,77.10,68.35,68.17,68.06,68.07,68.18
65371,77.02,68.15,68.09,68.01,68.03,68.21
66442,76.92,68.26,68.01,68.12,68.04,68.12
67514,76.93,68.21,68.10,68.21,68.17,67.98
68585,76.99,68.10,68.07,68.18,68.13,68.15
69657,76.96,68.18,68.18,67.97,68.13,68.12
70728,77.02,68.24,68.00,68.09,68.07,68.12
71800,76.95,68.30,68.13,68.04,68.06,68.09
72871,76.90,68.12,67.92,68.09,68.07,68.03
73944,76.87,68.21,68.07,68.09,68.09,68.13
75015,76.95,68.26,68.09,68.04,68.12,68.10
76087,76.92,68.20,68.07,68.13,68.06,68.21
77159,76.98,68.17,68.09,68.04,68.09,68.03
78230,76.87,68.26,68.07,68.20,67.95,68.01
79302,76.92,68.13,68.06,68.09,68.15,68.07
80373,76.93,68.27,68.09,68.09,68.06,68.04
81445,76.93,68.09,68.04,68.07,68.07,68.06
82516,76.82,68.21,68.03,68.09,68.09,68.10
